"Periodo","Liquidez internacional del BCRP - RIN - Reservas Internacionales Netas (millones US$)"
Ene15,62619
Feb15,61896
Mar15,61323
Abr15,61627
May15,60413
Jun15,60017
Jul15,59734
Ago15,60613
Sep15,61439
Oct15,62172
Nov15,62196
Dic15,61485
Ene16,59981
Feb16,60198
Mar16,61281
Abr16,61273
May16,60619
Jun16,59564
Jul16,61086
Ago16,61769
Sep16,61575
Oct16,62009
Nov16,61364
Dic16,61686
Ene17,62572
Feb17,62291
Mar17,62487
Abr17,62998
May17,63414
Jun17,62601
Jul17,63050
Ago17,62005
Sep17,64360
Oct17,63560
Nov17,62983
Dic17,63621
Ene18,64290
Feb18,61885
Mar18,62032
Abr18,60190
May18,60065
Jun18,59079
Jul18,60797
Ago18,60275
Sep18,57941
Oct18,58492
Nov18,59387
Dic18,60121
Ene19,62379.57584206
Feb19,63254
Mar19,63091
Abr19,64882
May19,66309.42386209
Jun19,66513
Jul19,66753
Ago19,68269
Sep19,67860
Oct19,67986
Nov19,66771
Dic19,68316
Ene20,68399
Feb20,67611
Mar20,68022
Abr20,73632
May20,73439
Jun20,71449.71203365
Jul20,74335.72126159
Ago20,74667.79874836
Sep20,72353.88923515
Oct20,72468.23440979
Nov20,71723.43697814
Dic20,74706.91124326
Ene21,76473.88390205
Feb21,76028.82552423
Mar21,79921.73039049
Abr21,77064.07695704
May21,73069.45597121
Jun21,71892.37173783
Jul21,70959.42074358
Ago21,74424.86332893
Sep21,76024.34888097
Oct21,74498.95018051
Nov21,78218.1872969
Dic21,78495.49017071
Ene22,77123.24623511
Feb22,76851.1665006
Mar22,75323.81907783
Abr22,75969.09242647
May22,76109.33462633
Jun22,73334.93941785
Jul22,74090.18264728
Ago22,73964.72510173
Sep22,74200.88078222
Oct22,73827.72275668
Nov22,73435.05937502
Dic22,71883.36530405
Ene23,73281.98323483
Feb23,73884.52116207
Mar23,72734.40662904
Abr23,74591.31777633
May23,76243.91192967
Jun23,72942.81177841
Jul23,73274.55685414
Ago23,71852.70555556
Sep23,71233.7088886
Oct23,71147.78735873
Nov23,71751.297916
Dic23,71033.01046251
Ene24,73327.46532753
Feb24,73943.03283999
Mar24,73827.92839165
Abr24,74511.66988769
May24,73920.00259049
Jun24,71415.40097371
Jul24,74277.82892047
Ago24,80771.26655196
Sep24,80364.80297031
Oct24,83309.07843405
Nov24,83227.78365261
Dic24,78986.65285034
Ene25,81595.88199155
Feb25,83660.87280949
Mar25,81016.10339545
Abr25,84469.44329028
May25,85957.3926635
Jun25,85263.33018393
Jul25,87480.01881687
Ago25,87752.81892101
Sep25,85148.22530528
Oct25,89960.76524049
Nov25,90898.18358352
Dic25,90214.4842999
Ene26,95072.12770141
