"Region","Periodo","Gasto_Real_Mensual_PerCapita","Gasto_Nominal_Mensual_PerCapita"
Apurímac,2014,607.741455078125,338.5906
Apurímac,2015,624.7606811523438,354.4374
Apurímac,2016,618.86083984375,360.7914
Apurímac,2017,628.160400390625,377.6048
Apurímac,2018,633.1290283203125,388.238067626953
Apurímac,2019,697.0386962890625,440.518157958984
Apurímac,2020,644.2237548828125,409.801422119141
Apurímac,2021,710.2146606445312,467.894134521484
Apurímac,2022,735.52734375,530.465759277344
Apurímac,2023,720.1485595703125,553.2930908203125
Apurímac,2024,733.5798950195312,570.9871215820312
Arequipa,2014,1099.24353027344,634.4246
Arequipa,2015,1105.51611328125,647.5015
Arequipa,2016,1096.6583251953125,662.8183
Arequipa,2017,1100.9381103515625,689.7646
Arequipa,2018,1106.254150390625,711.260375976563
Arequipa,2019,1143.929931640625,756.045593261719
Arequipa,2020,947.60107421875,636.493041992188
Arequipa,2021,1040.296630859375,720.216979980469
Arequipa,2022,1074.9415283203125,809.781555175781
Arequipa,2023,1073.640869140625,860.4537963867188
Arequipa,2024,1073.786865234375,876.1283569335938
Ayacucho,2014,609.544921875,329.6366
Ayacucho,2015,646.8255615234375,348.124
Ayacucho,2016,682.189453125,379.734
Ayacucho,2017,679.5811157226562,390.1231
Ayacucho,2018,694.4007568359375,407.992645263672
Ayacucho,2019,698.2915649414064,419.54638671875
Ayacucho,2020,622.7230224609375,377.882751464844
Ayacucho,2021,699.8733520507812,445.471405029297
Ayacucho,2022,722.1135864257811,502.409454345703
Ayacucho,2023,742.0408325195312,546.7051391601562
Ayacucho,2024,741.5733032226561,563.7080078125
Cajamarca,2014,551.778259277344,320.7497
Cajamarca,2015,571.3469848632812,334.0026
Cajamarca,2016,590.9237670898438,353.5729
Cajamarca,2017,598.6061401367188,365.3728
Cajamarca,2018,657.943359375,404.937744140625
Cajamarca,2019,707.9715576171875,446.499938964844
Cajamarca,2020,601.1516723632812,387.169158935547
Cajamarca,2021,665.2781372070312,452.537658691406
Cajamarca,2022,636.90673828125,468.327331542969
Cajamarca,2023,628.1670532226562,491.7799987792969
Cajamarca,2024,633.9823608398438,504.0124206542969
Callao,2014,996.412780761719,711.1078
Callao,2015,1020.6923217773438,739.8477
Callao,2016,1037.299072265625,781.4626
Callao,2017,1017.8851318359376,788.4437
Callao,2018,1011.9447631835938,795.525329589844
Callao,2019,1020.1408081054688,819.752014160156
Callao,2020,818.8285522460938,669.351013183594
Callao,2021,858.235107421875,737.651184082031
Callao,2022,834.7010498046875,775.959899902344
Callao,2023,836.5450439453125,819.0750732421875
Callao,2024,845.7805786132812,845.78076171875
Cusco,2014,922.348999023438,515.8507
Cusco,2015,901.9645385742188,512.8429
Cusco,2016,914.859130859375,542.463
Cusco,2017,831.7403564453125,504.5773
Cusco,2018,860.4632568359375,536.949279785156
Cusco,2019,839.861328125,536.488647460938
Cusco,2020,727.8944702148436,470.703552246094
Cusco,2021,803.4384155273436,539.305969238281
Cusco,2022,854.5615844726561,630.410888671875
Cusco,2023,855.8554077148436,670.8920288085938
Cusco,2024,865.072998046875,686.5811157226562
Huancavelica,2014,521.889831542969,270.1328
Huancavelica,2015,570.7940063476562,304.7668
Huancavelica,2016,582.909423828125,319.1995
Huancavelica,2017,581.6983032226562,326.9153
Huancavelica,2018,588.5794067382812,337.108703613281
Huancavelica,2019,616.1918334960938,361.988800048828
Huancavelica,2020,545.5709228515625,327.664825439453
Huancavelica,2021,591.0511474609375,378.783172607422
Huancavelica,2022,620.6092529296875,438.618072509766
Huancavelica,2023,637.0029907226562,476.92767333984375
Huancavelica,2024,646.4736938476562,487.7785949707031
Huánuco,2014,681.684020996094,365.5521
Huánuco,2015,740.5315551757811,403.5411
Huánuco,2016,756.3179931640625,423.4575
Huánuco,2017,743.8635864257811,424.5135
Huánuco,2018,783.08154296875,455.097351074219
Huánuco,2019,787.3323974609375,471.665771484375
Huánuco,2020,666.4503173828125,405.590637207031
Huánuco,2021,700.6904907226562,458.584716796875
Huánuco,2022,687.14306640625,493.028869628906
Huánuco,2023,717.47705078125,543.1214599609375
Huánuco,2024,717.445556640625,552.1250610351562
Ica,2014,1064.9853515625,593.0575
Ica,2015,1092.8724365234375,624.0341
Ica,2016,1130.7869873046875,672.4693
Ica,2017,1127.6031494140625,694.6251
Ica,2018,1156.8189697265625,732.490905761719
Ica,2019,1198.284912109375,783.234008789063
Ica,2020,1061.396728515625,711.280334472656
Ica,2021,1072.6434326171875,763.609252929688
Ica,2022,1114.2607421875,869.321228027344
Ica,2023,1106.0859375,924.3728637695312
Ica,2024,1116.5303955078125,956.713623046875
Junín,2014,876.071838378906,471.1058
Junín,2015,937.5640869140624,505.6066
Junín,2016,926.4910888671876,519.2614
Junín,2017,897.257080078125,514.4806
Junín,2018,903.9039306640624,528.874694824219
Junín,2019,912.5516357421876,550.082092285156
Junín,2020,779.406494140625,475.768768310547
Junín,2021,839.5040893554686,544.525573730469
Junín,2022,875.43359375,623.6611328125
Junín,2023,872.9329223632812,655.7979736328125
Junín,2024,912.6422729492188,702.90673828125
La Libertad,2014,923.092407226563,503.9376
La Libertad,2015,953.6362915039062,529.3167
La Libertad,2016,990.5167236328124,572.7802
La Libertad,2017,1007.482421875,604.9759
La Libertad,2018,989.1868896484376,605.435791015625
La Libertad,2019,994.6323852539062,623.158569335938
La Libertad,2020,843.9393920898436,538.064819335938
La Libertad,2021,922.4962768554688,618.140441894531
La Libertad,2022,923.7642822265624,673.22119140625
La Libertad,2023,900.209716796875,703.8355712890625
