Region,Anio,Tasa_Informalidad
Amazonas,2022,86.662274
Amazonas,2023,85.768212
Apurímac,2022,87.22319200000001
Apurímac,2023,86.687407
Arequipa,2022,66.982555
Arequipa,2023,63.569030000000005
Ayacucho,2022,85.932184
Ayacucho,2023,86.065161
Cajamarca,2022,89.540262
Cajamarca,2023,86.648229
Callao,2022,63.88645
Callao,2023,56.198153
Cusco,2022,81.021101
Cusco,2023,80.168934
Huancavelica,2022,89.3496
Huancavelica,2023,86.410888
Huánuco,2022,85.71229500000001
Huánuco,2023,83.15462
Ica,2022,61.08253500000001
Ica,2023,59.186478
Junín,2022,80.204683
Junín,2023,78.65588799999999
La Libertad,2022,73.80860700000001
La Libertad,2023,72.84631999999998
Lambayeque,2022,74.894953
Lambayeque,2023,72.782359
Lima,2022,74.76810900000001
Lima,2023,74.527362
Lima Metropolitana,2022,60.569573
Lima Metropolitana,2023,56.710603000000006
Loreto,2022,83.935967
Loreto,2023,80.327204
Madre de Dios,2022,77.039683
Madre de Dios,2023,76.372502
Moquegua,2022,65.45683
Moquegua,2023,62.997704
Nacional,2022,73.986181
Nacional,2023,71.141962
Pasco,2022,82.597697
Pasco,2023,81.09886
Piura,2022,79.244963
Piura,2023,75.513436
Puno,2022,89.362318
Puno,2023,89.34121499999998
Rural,2022,95.415075
Rural,2023,94.157624
San Martín,2022,86.077503
San Martín,2023,82.208303
Tacna,2022,75.455779
Tacna,2023,74.511119
Tumbes,2022,77.441743
Tumbes,2023,76.789429
Ucayali,2022,82.074349
Ucayali,2023,79.786822
Urbana,2022,68.48229500000001
Urbana,2023,65.51945599999999
Áncash,2022,80.92809600000001
Áncash,2023,78.202417
